Fund me ,Mean,standard deviation,sharpe,sortino,beta,Alpha,R square,Treynor ratio,Expense Ratio,Min Investment Amt. ,SIP ( YES/NO),Lumpsum(Yes/No),V,AUM ( CR )
SBI Banking & Fincial Services Fund - Regular Plan ,20.23,17.73,0.78,1.19,0.87,5.85,0,0,2.87,5000,yes,yes,17.5877,567
Taurus Banking & Fincial Services Fund - Regular Plan,12.19,18.04,0.32,0.5,0.94,-2.8,0,0,2.81,5000,yes,yes,24.84,6
RELIANCE POWER &INFRA FUND,10.65,20.16,0.21,0.32,0.98,8.94,0,0,2.22,5000,YES,YES,102.2056,1647
Franklin Build India Fund    ,10.78,16.73,0.26,0.45,0.82,8.33,0,0,2.36,5000,YES,YES,41.498,1206
DSP T.I.G.E.R. Fund - Regular Plan  ,9.04,18.84,0.14,0.23,0.92,7.04,0,0,2.31,1000,YES,YES,92.085,1366
Tata Infrastructure Fund - Regular Plan    ,8.05,17.76,0.09,0.15,0.86,5.8,0,0,2.22,5000,YES,YES,56.2934,584
ICICI Prudential Infrastructure Fund    ,6.08,17.86,-0.02,-0.03,0.91,4.03,0,0,2.27,5000,YES,yes,51.03,1387
UTI Infrastructure Fund - Regular Plan,6.99,19.39,0.03,0.05,0.96,5.21,0,0,2.18,5000,yes,yes,54.2125,1472
Cara Robeco Infrastructure Fund - Regular Plan,6.69,17.08,0.01,0.02,0.78,4.03,0,0,2.5,5000,yes,yes,46.46,132
Aditya Birla Sun Life Infrastructure Fund    ,8.58,18.04,0.12,0.18,0.87,6.37,0,0,2.81,1000,yes,yes,33.94,704
Sundaram Infrastructure Advantage Fund - Regular Plan    ,8.11,18.43,0.09,0.13,0.86,5.82,0,0,2.55,5000,yes,yes,33.3116,673
Taurus Infrastructure Fund - Regular Plan,12.29,17.65,0.33,0.53,0.87,10.09,0,0,2.84,5000,yes,yes,26.69,5
Reliance Pharma Fund ,2.33,15.07,-0.27,-0.46,0.71,5.77,0,0,2.47,5000,yes,yes,158.0169,2266
SBI Healthcare Opportunities Fund  ,-5.45,15.5,-0.77,-1.16,0.7,-2.17,0,0,2.6,5000,yes,yes,128.001,984
UTI Healthcare Fund - Regular Plan,-2.63,15.07,-0.6,-0.85,0.72,1.05,0,0,2.41,5000,yes,yes,93.4276,428
Mirae Asset Healthcare Fund - Regular Plan  ,0,0,0,0,0,0,0,0,2.77,5000,yes,yes,10.828,206
ICICI Prudential Pharma Healthcare And Diagnostics (P.H.D) Fund - Regular Plan  ,0,0,0,0,0,0,0,0,2.42,5000,yes,yes,10.66,1199
Tata India Pharma & HealthCare Fund - Regular Plan  ,0,0,0,0,0,0,0,0,2.78,5000,yes,yes,9.4883,154
Fund,0,0,0,0,0,0,0,0,0,1000,yes,yes,,
