Fund me ,Mean,standard deviation,sharpe,sortino,beta,Alpha,R square,Treynor ratio,Expense Ratio,Min Investment Amt. ,SIP ( YES/NO),Lumpsum(Yes/No),V,AUM ( CR )
Kotak Credit Risk Fund Regular Plan,7.79,1.54,0.87,1.29,3.4,8.73,0.29,0.4,0.0181,1000,yes,yes,na,na
Indiabulls Liquid Fund,7.15,0.21,3.41,7.11,0.51,1.82,0.36,1.39,0.0017,1000,yes,yes,na,na
Union Liquid Fund,6.9,0.19,2.4,7.03,0.37,1.27,0.23,1.21,0.0019,1000,no,yes,na,na
Quant Liquid Plan,7.16,0.24,2.99,7.59,0.46,1.72,0.22,1.56,0.009,1000,yes,yes,na,na
IDBI Liquid Fund,6.98,0.19,2.83,7.42,0.44,1.49,0.32,1.22,0.0025,1000,yes,yes,na,na
Essel Liquid Fund - Regular Plan,6.98,0.19,2.83,7.42,0.44,1.49,0.23,1.89,0.0025,1000,yes,yes,na,na
HSBC Cash Fund,7.02,0.19,3.05,6.01,0.34,1.32,0.2,1.68,0.0014,1000,yes,yes,na,na
Axis Liquid Fund,7.07,0.19,3.27,8.89,0.43,1.55,0.3,1.47,0.0016,1000,yes,yes,na,na
DHFL Pramerica Insta Cash Fund,7.09,0.21,3.11,6.13,0.46,1.64,0.29,1.41,0.0018,1000,yes,yes,na,na
Invesco India Liquid Fund,7.06,0.2,3.12,7.18,0.46,1.62,0.32,1.34,0.0022,1000,no,yes,na,na
UTI Short Term Income Fund - Regular Plan,7.39,1.63,0.58,0.99,3.96,9.56,0.35,0.24,0.88,1000,yes,yes,na,na
HDFC Short Term Debt Fund    ,7.34,1.02,0.87,1.44,2.44,6.19,0.34,0.37,0.4,1000,yes,yes,na,na
Essel Short Term Fund,6.11,1.06,-0.32,-0.51,2.63,5.37,0.34,0.37,1.25,1000,yes,yes,na,na
Quant Short Term Debt Fund,7.22,0.31,2.48,3.78,0.76,2.42,0.26,0.27,1,1000,yes,yes,na,na
Franklin India Short Term Income Plan - Retail Plan   ,7.88,1.66,0.86,0.87,1.9,5.56,0.08,0.75,1.57,1000,yes,yes,na,na
L&T Short Term Bond Fund Fund    ,6.85,1.4,0.29,0.43,3.39,7.76,0.35,0.27,0.81,1000,yes,yes,na,na
Indiabulls Short Term Fund - Regular Plan,7.37,1.07,0.87,1.31,2.06,5.41,0.22,0.45,1.5,1000,yes,yes,na,na
Baroda Pioneer Short Term Bond Fund,7.78,0.83,1.61,3.11,1.66,4.95,0.24,0.81,1.3,1000,yes,yes,na,na
ICICI Prudential Short Term Fund    ,7.46,2.04,0.5,0.85,5.51,12.98,0.43,0.33,1.35,1000,yes,yes,na,na
Aditya Birla Sun Life Banking & Fincial Services Fund ,19.66,20.16,0.66,1.02,0.94,4.65,0.78,14.09,2.48,1000,yes,yes,30.54,1686
Reliance Banking Fund    ,15.54,17.96,0.51,0.78,0.9,0.88,0.88,15.69,2.13,5000,yes,yes,: R 289.2977,3044
ICICI Prudential Banking and Fincial Services Fund   ,17.48,19.26,0.57,0.97,0.93,2.5,0.83,15.17,2.13,5000,yes,yes,63.48,2756
Reliance ETF Bank BeES    ,15.19,18.92,0.46,0.7,1,-0.39,1,11.97,0.22,10000,yes,yes,2857.749,2870
Invesco India Fincial Services Fund    ,15.61,17.08,0.54,0.77,0.87,1.24,0.92,17.43,2.73,5000,yes,yes,31.75,129
SBI Banking & Fincial Services Fund - Regular Plan   ,23.85,16.58,1.05,1.62,0.85,6.98,0.84,20.61,2.87,5000,yes,yes,17.3851,567
Reliance Pharma Fund    ,3.6,15.78,-0.18,-0.32,0.7,5.54,0.82,-2.72,2.47,5000,yes,yes,162.4234,2266
UTI Healthcare Fund - Regular Plan ,-0.9,15.97,-0.46,-0.67,0.73,1.35,0.86,-10.03,2.41,5000,yes,yes,R 95.3368,428
Franklin India Technology Fund    ,12.52,12.16,0.5,0.94,0.66,1.24,0.88,10.24,2.8,5000,yes,yes,165.1113,224
SBI Technology Opportunities Fund    ,12.69,14.61,0.43,0.84,0.78,0.54,9.24,0.85,3.26,5000,yes,yes,64.9343,112
ICICI Prudential Technology Fund    ,13.44,14.37,0.49,0.93,0.76,1.38,0.85,9.19,2.89,5000,yes,yes,60.57,422
Aditya Birla Sun Life Digital India Fund    ,16.89,16.55,0.63,1.08,0.86,4.12,0.81,13.07,2.93,1000,yes,yes,54.96,414
Reliance Power & Infra Fund    ,13.82,19.39,0.38,0.52,0.97,7.2,0.77,7.64,2.22,5000,yes,yes,102.8105,1647
UTI Infrastructure Fund - Regular Plan  ,10.37,18.87,0.21,0.34,0.98,3.75,0.84,4.03,2.18,5000,yes,yes,54.2638,1472
SBI Gold Fund,3.64,0.1215,-0.24,-0.44,1.09,-0.73,0.94,-1.61,0.0045,5000,no,yes,9.6324,312
Aditya Birla Sun Life Gold Exchange Traded Fund,3.57,0.1523,-0.2,-0.28,1.17,-0.64,0.75,-0.65,0.5,1000,no,yes,9.7158,53
Cara Robeco Gold Exchange Traded Fund,4.22,0.1167,-0.2,-0.38,1.03,-0.26,0.94,-0.86,0.008,5000,no,yes,2824.3174,37 crore
Cara Robeco Gold Savings Fund - Regular Plan,3.56,0.1102,-0.26,-0.47,0.99,-0.98,0.91,-0.0288,0.0055,5000,no,yes,9.0819,36
IDBI Gold Exchange Traded Fund,4.44,12.66,-0.16,-0.31,1.1,0.09,0.86,-0.15,0.0058,10000,NO,yes,2846.79,62
Invesco India Gold Exchange Traded Fund,3.97,12.71,-0.19,-0.38,1.1,-0.37,0.86,-0.57,0.01,5000,NO,yes,2768.1513,30
Reliance ETF Gold BeES,4.02,12.62,-0.19,-0.39,1.09,-0.34,0.85,-0.44,0.0118,10000,NO,yes,2705.8588,2243
